RN:,CU:,NC:,SR:,CS:,PL:,SC:,ID:,AG:,IA:,GS:,GA:,OD:,NT:,DA:,IP:,AP:,BH:,OS:,NA:,GB:,GC:,OT:,SH:,AU:,LO:,HY:,RC:,RG:,SL:,ST:,Record #
61025002,58 B0:23.700 14.990,21B,43900,1.891,Pemtek/Kay,OTF,,,,Stenella frontalis BD15F,ANWBD15F,6-Aug-1961 BD15F | AugBD15F 1961BD15F,BD15F Sidebanded whistles; pulsed clicks. Good clicks.,4-Aug-94,,,,,10+ BD15F,,N38BD15F W073BD15F,,Bear 265,WAW,"CD #9, 10 | SHIV",,,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles BD15F | Pulsed clicks BD15F,1
61025002,58 B0:23.700 14.990,21B,43900,1.891,Pemtek/Kay,OTF,,,,Stenella frontalis BD15F,ANWBD15F,6-Aug-1961 BD15F | AugBD15F 1961BD15F,BD15F Sidebanded whistles; pulsed clicks. Good clicks.,4-Aug-94,,,,,10+ BD15F,,N38BD15F W073BD15F,,Bear 265,WAW,"CD #9, 10 | SHIV",,,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles BD15F | Pulsed clicks BD15F,2
6102500A,149 B0:23.700 14.740,21B,43900,1.891,Pemtek/Kay,OTF,,,,Stenella frontalis BD15F,ANWBD15F,6-Aug-1961 BD15F | AugBD15F 1961BD15F,BD15F Whistles; pulsed click series. Good whistles.,4-Aug-94,,,,,10 BD15F,,N38BD15F W073BD15F,,Bear 265,WAW,"CD #9, 10 | SHIV",,,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,,FMBD15F | BSBD15F | PUBD15F | SEBD15F | Whistles BD15F | Clicks BD15F | Pulsed click series BD15F,9
6102500R,1211:34.911-12:33.534,11A,60600,58.623,Pemtek/K-H H3.1 L28,OTF,,,,Stenella frontalis BD15F,ANWBD15F,6-Aug-1961 BD15F | AugBD15F 1961BD15F,BD15F Whistles; pulsed clicks. Cue times are approximate--original file on CD restreamed with HP filter of 3.1kHz and LP filter of 28kHz. Long cut made from digitized tape for 'Best of Stenella frontalis' CD,25-Jun-03,,,,,10+ BD15F,,N38BD15F W073BD15F,,Bear 265,WAW,Sound Cut 1 CD | SHIV | Best of Stenella frontalis CD,,,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,,BLBD15F | BSBD15F | PUBD15F | FMBD15F | Whistles BD15F | Pulsed clicks BD15F,26
61025009,149 B0:23.700 20.350,21B,43900,1.891,Pemtek/Kay,OTF,,,,Stenella frontalis BD15F,ANWBD15F,6-Aug-1961 BD15F | AugBD15F 1961BD15F,BD15F Whistles; pulsed click series. Good whistles.,4-Aug-94,,,,,10 BD15F,,N38BD15F W073BD15F,,Bear 265,WAW,"CD #9, 10 | SHIV",,,AX-58 hydrophones | Crown tape recorder | WHOI transistor amplifier,,FMBD15F | BSBD15F | PUBD15F | Whistles BD15F | Clicks BD15F | Pulsed click series BD15F,8
66038004,212,11A,18000,10.9,Crown/ Voice,OTF,,,,Erignathus barbatus CC2A,INECC2A,8-May-1966 CC2A | MayCC2A 1966CC2A,CC2A Phrase two. Watkins' copy of Ray's NYZS #65. Good cut.,30-Apr-92,,,,,3+ CC2A,"10 mi. E Gambell, St. Lawrence I., Alaska CC2A",N63CC2A W171CC2A,,,G. Carleton Ray,"CD #9, 10 | Shiv",9.3,,,,FMCC2A | Warble CC2A,4
72021005,323 B190.0,11A,10240,190,Crown/ Kay,OTF 5,,,,Erignathus barbatus CC2A,INEAA1A INECC2A,04-Feb-1971 AA1A CC2A | FebCC2A 1971CC2A | FebAA1A 1971AA1A,AA1A CC2A Excellent partial bowhead songs in foreground; bearded seals in background. Very repetitive phrasing,1-Sep-92,,,,,"1, possibly 2+ AA1A | 1+ CC2A",Bering Strait AA1A CC2A,N66AA1A W169AA1A | N66CC2A W169CC2A,,UN,Gene Bloom,"CD #9, 10 | Shiv-copy",,,Unmanned hydrophones,,NLAA1A | SOAA1A | FMCC2A | Moans AA1A | Songs AA1A | Warbles CC2A,26
78018001,157 B190.0 16.81,11A,10240,54.5,Crown/Kay,OTF,,,,Erignathus barbatus CC2A,PNWCC2A,10-May-1978 CC2A | MayCC2A 1978CC2A,"CC2A AA1A High level Erignathus throughout. Some good bowhead sounds, but no obvious pattern. Copy of Johnson's tape #13/1 and 13/2. One, possibly two bowheads > 2000 m. Generator noise",7-Sep-92,,,,Balaena mysticetus AA1A,3+ CC2A,"Barrow, Alaska CC2A AA1A",N71CC2A W157CC2A,,IC,Jim Johnson,"CD #9, 10 | Shiv-copy",,,Uher 12 tape recorder,,FMCC2A | Warble CC2A,30
78018001,157 B190.0 16.81,11A,10240,54.5,Crown/Kay,OTF,,,,Erignathus barbatus CC2A,PNWCC2A,10-May-1978 CC2A | MayCC2A 1978CC2A,"CC2A AA1A High level Erignathus throughout. Some good bowhead sounds, but no obvious pattern. Copy of Johnson's tape #13/1 and 13/2. One, possibly two bowheads > 2000 m. Generator noise",7-Sep-92,,,,Balaena mysticetus AA1A,3+ CC2A,"Barrow, Alaska CC2A AA1A",N71CC2A W157CC2A,,IC,Jim Johnson,"CD #9, 10 | Shiv-copy",,,Uher 12 tape recorder,,FMCC2A | Warble CC2A,31
78018002,225 B190.0 14.85,11A,10240,60.4,Crown/Kay,OTF,,,,Erignathus barbatus CC2A | Balaena mysticetus AA1A,PNWCC2A PNWAA1A,10-May-1978 CC2A AA1A | MayCC2A 1978CC2A | MayAA1A 1978AA1A,"CC2A AA1A High level Erignathus throughout. Some good bowhead sounds, but no obvious pattern. Copy of Johnson's tape #13/1 and 13/2. One, possibly two bowheads > 2000 m. Generator noise",7-Sep-92,,,,,3+ CC2A | 1+ AA1A,"Barrow, Alaska CC2A AA1A",N71CC2A W157CC2A | N71AA1A W157AA1A,,IC,Jim Johnson,"CD #9, 10 | Shiv-copy",,,Uher 12 tape recorder,,FMCC2A | BLAA1A | FMAA1A | Warble CC2A | Song CC2A | Moan AA1A | Upsweep AA1A | Downsweep AA1A,32
62019007,427,11A,16000,6.88,Crown/Voice FD L10,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,08-Jun-1962 BB1A | JunBB1A 1962BB1A,BB1A Whistles; clicks.,5-Aug-94,,,,,2+ BB1A,"Baie Ste. Catherine, Canada BB1A",,,Helio,WAW,"CD #9, 10 | SHIV",,,WHOI Rowboat recorder | Atlantic Research LC34 hydrophone,,NLBB1A | BSBB1A | Whistles BB1A | Clicks BB1A,4
6202200T,0 B8:17.581 5:29.106,11A,80000,4.737,Crown-4CH/ K-H H38,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,09-Jun-1962 BB1A | JunBB1A 1962BB1A,BB1A Pulsed clicks; squeals.,29-Mar-94,,,,,4 BB1A,"Saguenay River, Canada BB1A",N48BB1A W070BB1A,,Helio,WAW,"CD #1, 2 | Shiv",,,"WHOI Rowboat recorder, Atlantic Research LC34 hydrophone",,BSBB1A | PUBB1A | Pulsed clicks BB1A | Squeals BB1A,10
62026009,132,11A,16000,11.6,Crown/Voice FD L10,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,08-Jun-1962 BB1A | JunBB1A 1962BB1A,BB1A Clicks; jaw claps; squeals.,8-Aug-94,,,,,2+ BB1A,"Saguenay River, Canada BB1A",N48BB1A W070BB1A,,,WAW,"CD #9, 10 | SHIV",,,WHOI Rowboat recorder | Atlantic Research LC34 hydrophone,,FMBB1A | BSBB1A | Clicks BB1A | Jaw claps BB1A | Squeals BB1A,25
63015004,752,11A,30000,4,Crown/Voice FD L15,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,22-Jan-1963 BB1A | JanBB1A 1963BB1A,BB1A Whistle; clicks.,8-Aug-94,,,,,2+ BB1A,"New York Aquarium, NY BB1A",,,AQ,WAW,"CD #9, 10 | SHIV",,Pump noise,WHOI Rowboat recorder | Atlantic Research LC32 hydrophone,,FMBB1A | BSBB1A | Whistle BB1A | Clicks BB1A,33
65030009,0 B29:59.884 12:30.622,11A,40000,3.369,Crown-4CH/ K-H H18,OTF,,,,Delphinapterus leucas BB1A,ANWBB1A,9-May-1965 BB1A | MayBB1A 1965BB1A,BB1A N47 25' W070 25' Creaks.,23-Mar-94,,,,,2 BB1A,"Ile aux Coudres, PQ, Canada BB1A",N47BB1A W070BB1A,1200-1305 BB1A,BE,G. Carleton Ray,"CD #1, 2 | Shiv",,,Nagra Tape Recorder,,NSBB1A | Creaks BB1A,37
56006002,0 B8:00.00 0:29.459,11B,60600,1.218,Crown/K-H L1 H30,OT,,,,Tursiops truncatus BD19D | Ambient noise X,INEBD19D INEX,31-Mar-1956 BD19D X | MarBD19D 1956BD19D | MarX 1956X,"BD19D X Tursiops in open water. Lots of lower freq. background noise: boats, pump noise, etc.",29-Jul-94,,,,Lagenorhynchus obliquidens BD6G | Phoca vitulina CC12V | Elasmobranchii L,1 BD19D,"Top Deck at Marine Land of the Pacific, San Diego, California BD19D X",,1550,AQ,WES,"CD #9, 10 | Shiv",,,AX-58 hydrophones | WHOI suitcase amplifier | Magnemite tape recorder,,NLBD19D | BLX | Whistle BD19D | Engine noise X,3
89514005,4026,21B,81920,2.5,JVC,S,FB153 #50 Blacktip Doubledip BD19D,F??FB153 F????FB153,FCFB153 FCFB150,Tursiops truncatus BD19D,ASWBD19D,22-Jun-1989 BD19D | 1989BD19D JunBD19D,BD19D Tursiops truncatus This is a typical signature whistle produced by FB153.,28-Nov-90,,,,,1 BD19D,"Sarasota, Florida BD19D",,,SM,Laela Sayigh,"CD #9, 10 | Shiv",,,Panasonic VHS AG-6400 | Tyack suction cup hydrophones,,"NLBD19D BSBD19D | whistles, clicks BD19D",17
89514011,530 B23.75 21.99,21A,81920,1.737,JVC L3,S 5,FB145 #?? BD19D,F??FB145 F????FB145,FCFB147 FCFB145 | FFFB147 FFFB149 | FFFB145 FFFB149 | FCFB153 FCFB150,Tursiops truncatus BD19D,ASWBD19D,21-Jun-1989 BD19D | 22-Jun-1989 BD19D | 1989BD19D JunBD19D,BD19D Tursiops truncatus This is FB145's signature whistle. JSM.,14-Aug-91,FB147 #?? BD19D | FB145 #?? BD19D | FB149 #?? BD19D | FB153 #50 Blacktip Doubledip BD19D | FB150 #?? BD19D,F??FB147 F????FB147 | F??FB145 F????FB145 | F??FB149 F????FB149 | F??FB153 F????FB153 | M05FB150 M1984FB150,,,1 BD19D,"Sarasota, Florida BD19D",,,SM,Laela Sayigh,"CD #9, 10 | Shiv",,,Panasonic VHS AG-6400 | Tyack suction cup hydrophones,,"NLBD19D BSBD19D | whistles, clicks BD19D",19
89514014,593 B23.75 21.99,21B,81920,1.737,JVC L3,S 5,FB147 #?? BD19D,F??FB147 F????FB147,FCFB147 FCFB145 | FFFB147 FFFB149 | FFFB145 FFFB149 | FCFB153 FCFB150,Tursiops truncatus BD19D,ASWBD19D,21-Jun-1989 BD19D | 22-Jun-1989 BD19D | 1989BD19D JunBD19D,BD19D Tursiops truncatus This is FB147's signature whistle. JSM.,14-Aug-91,FB147 #?? BD19D | FB145 #?? BD19D | FB149 #?? BD19D | FB153 #50 Blacktip Doubledip BD19D | FB150 #?? BD19D,F??FB147 F????FB147 | F??FB145 F????FB145 | F??FB149 F????FB149 | F??FB153 F????FB153 | M05FB150 M1984FB150,,,1 BD19D,"Sarasota, Florida BD19D",,,SM,Laela Sayigh,"CD #9, 10 | Shiv",,,Panasonic VHS AG-6400 | Tyack suction cup hydrophones,,"NLBD19D BSBD19D | whistles, clicks BD19D",21
89514017,3980 B23.75 21.99,21B,81920,1.737,JVC L3,S 5,FB153 #50 Blacktip Doubledip BD19D,F??FB153 F????FB153,FCFB147 FCFB145 | FFFB147 FFFB149 | FFFB145 FFFB149 | FCFB153 FCFB150,Tursiops truncatus BD19D,ASWBD19D,21-Jun-1989 BD19D | 22-Jun-1989 BD19D | 1989BD19D JunBD19D,BD19D Tursiops truncatus This is FB153's signature whistle. JSM.,14-Aug-91,FB147 #?? BD19D | FB145 #?? BD19D | FB149 #?? BD19D | FB153 #50 Blacktip Doubledip BD19D | FB150 #?? BD19D,F??FB147 F????FB147 | F??FB145 F????FB145 | F??FB149 F????FB149 | F??FB153 F????FB153 | M05FB150 M1984FB150,,,1 BD19D,"Sarasota, Florida BD19D",,,SM,Laela Sayigh,"CD #9, 10 | Shiv",,,Panasonic VHS AG-6400 | Tyack suction cup hydrophones,,"NLBD19D BSBD19D | whistles, clicks BD19D",24
7202100Q,199 B190.0 .08125,11A,10240,3.781,Crown/ Kay,OTF 4,,,,Balaena mysticetus AA1A,INEAA1A,06-Apr-1972 AA1A | AprAA1A 1972AA1A,AA1A CC2A Bowhead sweep sound.,17-Aug-92,,,,,1+ AA1A,Bering Strait AA1A,N66AA1A W169AA1A,,UN,Gene Bloom,"CD #9, 10 | Shiv-copy",,,Unmanned hydrophones,,NLAA1A | FMAA1A | Sweep AA1A | Song AA1A | Moan AA1A,2
7801800H,556 B190.0 165.6,11A,10240,4.825,Crown/Kay,OTF,,,,Balaena mysticetus AA1A | Erignathus barbatus CC2A,PNWAA1A PNWCC2A,10-May-1978 AA1A | 10-May-1978 CC2A | MayAA1A 1978AA1A | MayCC2A 1978CC2A,"AA1A CC2A High level Erignathus throughout. Some good bowhead sounds, but no obvious pattern. Copy of Johnson's tape #13/1 and 13/2. One, possibly two bowheads > 2000 m. Generator noise",11-Sep-92,,,,,1+ AA1A | 3+ CC2A,"Barrow, Alaska AA1A CC2A",N71AA1A W157AA1A | N71CC2A W157CC2A,,IC,Jim Johnson,"CD #9, 10 | Shiv-copy",,,Uher 12 tape recorder,,BLAA1A | FMAA1A | FMCC2A | Moan AA1A | Warble CC2A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,